dataset,k,seed,layer,attribute,mi_nats,num_pairs,clusters_used
LMD-matched,1000,12,1,Bar,0.1277729503247078,4472244,1000
LMD-matched,1000,12,2,Bar,0.2559819090573668,4472244,1000
LMD-matched,1000,12,3,Bar,0.3142056761756885,4472244,999
LMD-matched,1000,12,4,Bar,0.4485463830541835,4472244,1000
LMD-matched,1000,12,5,Bar,0.5952124390460505,4472244,994
LMD-matched,1000,12,6,Bar,0.5798587151041694,4472244,992
LMD-matched,1000,12,7,Bar,0.3407872150422561,4472244,943
LMD-matched,1000,12,8,Bar,0.4313004338554579,4472244,986
LMD-matched,1000,12,9,Bar,0.5112266913418895,4472244,1000
LMD-matched,1000,12,10,Bar,0.4070327522817628,4472244,1000
LMD-matched,1000,12,11,Bar,0.155785536825861,4472244,1000
LMD-matched,1000,12,12,Bar,0.0780094139450515,4472244,999
LMD-matched,1000,12,1,Duration,2.097628670037596,4472244,1000
LMD-matched,1000,12,2,Duration,1.3419911008931191,4472244,1000
LMD-matched,1000,12,3,Duration,1.2791597822468717,4472244,999
LMD-matched,1000,12,4,Duration,0.751115662571971,4472244,1000
LMD-matched,1000,12,5,Duration,0.6874732270162742,4472244,994
LMD-matched,1000,12,6,Duration,0.6639279602846412,4472244,992
LMD-matched,1000,12,7,Duration,0.822115149045978,4472244,943
LMD-matched,1000,12,8,Duration,0.7435620748740444,4472244,986
LMD-matched,1000,12,9,Duration,0.6058899038810562,4472244,1000
LMD-matched,1000,12,10,Duration,0.7226958408286168,4472244,1000
LMD-matched,1000,12,11,Duration,0.8265068270010572,4472244,1000
LMD-matched,1000,12,12,Duration,1.2052247889967131,4472244,999
LMD-matched,1000,12,1,Pitch,2.331856824916297,4472244,1000
LMD-matched,1000,12,2,Pitch,2.074971539128,4472244,1000
LMD-matched,1000,12,3,Pitch,1.7826357224984344,4472244,999
LMD-matched,1000,12,4,Pitch,1.9794019848784945,4472244,1000
LMD-matched,1000,12,5,Pitch,1.3659894171455145,4472244,994
LMD-matched,1000,12,6,Pitch,1.3179883067683305,4472244,992
LMD-matched,1000,12,7,Pitch,1.4000438587948356,4472244,943
LMD-matched,1000,12,8,Pitch,1.5160573046902597,4472244,986
LMD-matched,1000,12,9,Pitch,1.7942884937147678,4472244,1000
LMD-matched,1000,12,10,Pitch,1.974708771897454,4472244,1000
LMD-matched,1000,12,11,Pitch,2.775416268833052,4472244,1000
LMD-matched,1000,12,12,Pitch,3.1605773487561595,4472244,999
LMD-matched,1000,12,1,Position,0.9849275076561448,4472244,1000
LMD-matched,1000,12,2,Position,1.9080057113257496,4472244,1000
LMD-matched,1000,12,3,Position,2.16260834687108,4472244,999
LMD-matched,1000,12,4,Position,2.026111809516862,4472244,1000
LMD-matched,1000,12,5,Position,2.378652935410896,4472244,994
LMD-matched,1000,12,6,Position,2.233046603141435,4472244,992
LMD-matched,1000,12,7,Position,2.1652682002512558,4472244,943
LMD-matched,1000,12,8,Position,2.0048008722443664,4472244,986
LMD-matched,1000,12,9,Position,2.050800742398621,4472244,1000
LMD-matched,1000,12,10,Position,2.483359221761341,4472244,1000
LMD-matched,1000,12,11,Position,2.3896153068563324,4472244,1000
LMD-matched,1000,12,12,Position,0.8464560111934019,4472244,999
LMD-matched,1000,12,1,Instrument,1.5052953488204484,4472244,1000
LMD-matched,1000,12,2,Instrument,1.33561790422488,4472244,1000
LMD-matched,1000,12,3,Instrument,1.1577848661622685,4472244,999
LMD-matched,1000,12,4,Instrument,1.055380109261974,4472244,1000
LMD-matched,1000,12,5,Instrument,1.0318206284989684,4472244,994
LMD-matched,1000,12,6,Instrument,1.098071313109254,4472244,992
LMD-matched,1000,12,7,Instrument,1.1500425025945114,4472244,943
LMD-matched,1000,12,8,Instrument,1.1537154905750893,4472244,986
LMD-matched,1000,12,9,Instrument,1.1734221951055728,4472244,1000
LMD-matched,1000,12,10,Instrument,1.1111137176695545,4472244,1000
LMD-matched,1000,12,11,Instrument,1.0465232521887424,4472244,1000
LMD-matched,1000,12,12,Instrument,1.3421165288738302,4472244,999
LMD-matched,1000,12,1,Tempo,0.106672302706484,4472244,1000
LMD-matched,1000,12,2,Tempo,0.0726857351484405,4472244,1000
LMD-matched,1000,12,3,Tempo,0.0608989366423418,4472244,999
LMD-matched,1000,12,4,Tempo,0.0434473259660917,4472244,1000
LMD-matched,1000,12,5,Tempo,0.054477494540617,4472244,994
LMD-matched,1000,12,6,Tempo,0.0634240288496077,4472244,992
LMD-matched,1000,12,7,Tempo,0.0863414487855352,4472244,943
LMD-matched,1000,12,8,Tempo,0.0763292921633165,4472244,986
LMD-matched,1000,12,9,Tempo,0.0641310110395708,4472244,1000
LMD-matched,1000,12,10,Tempo,0.0727297123196043,4472244,1000
LMD-matched,1000,12,11,Tempo,0.077742610014768,4472244,1000
LMD-matched,1000,12,12,Tempo,0.1781052100272217,4472244,999
LMD-matched,1000,12,1,Time signature,0.0559618774100883,4472244,1000
LMD-matched,1000,12,2,Time signature,0.049384483201819,4472244,1000
LMD-matched,1000,12,3,Time signature,0.0460540114334627,4472244,999
LMD-matched,1000,12,4,Time signature,0.0358923064267534,4472244,1000
LMD-matched,1000,12,5,Time signature,0.0542786749129823,4472244,994
LMD-matched,1000,12,6,Time signature,0.0490791956083739,4472244,992
LMD-matched,1000,12,7,Time signature,0.053873771250187,4472244,943
LMD-matched,1000,12,8,Time signature,0.0491447683162777,4472244,986
LMD-matched,1000,12,9,Time signature,0.0450423309886092,4472244,1000
LMD-matched,1000,12,10,Time signature,0.0614915866138409,4472244,1000
LMD-matched,1000,12,11,Time signature,0.0587675778240167,4472244,1000
LMD-matched,1000,12,12,Time signature,0.1057582108959176,4472244,999
LMD-matched,1000,12,1,Velocity,0.652627228518492,4472244,1000
LMD-matched,1000,12,2,Velocity,0.4246987000424531,4472244,1000
LMD-matched,1000,12,3,Velocity,0.2214704954664016,4472244,999
LMD-matched,1000,12,4,Velocity,0.1260701348810243,4472244,1000
LMD-matched,1000,12,5,Velocity,0.1069949772590066,4472244,994
LMD-matched,1000,12,6,Velocity,0.3005015548105781,4472244,992
LMD-matched,1000,12,7,Velocity,0.3419256683144564,4472244,943
LMD-matched,1000,12,8,Velocity,0.4045254768108101,4472244,986
LMD-matched,1000,12,9,Velocity,0.2503468407889682,4472244,1000
LMD-matched,1000,12,10,Velocity,0.2103479488818019,4472244,1000
LMD-matched,1000,12,11,Velocity,0.2282536916215596,4472244,1000
LMD-matched,1000,12,12,Velocity,0.9474605584999304,4472244,999
LMD-matched,1000,42,1,Bar,0.1988691403472784,4472244,997
LMD-matched,1000,42,2,Bar,0.3591290320067848,4472244,1000
LMD-matched,1000,42,3,Bar,0.4402414745560647,4472244,1000
LMD-matched,1000,42,4,Bar,0.5311959011283225,4472244,999
LMD-matched,1000,42,5,Bar,0.7204935463819532,4472244,995
LMD-matched,1000,42,6,Bar,0.7459751481330514,4472244,990
LMD-matched,1000,42,7,Bar,0.5024157638863587,4472244,896
LMD-matched,1000,42,8,Bar,0.6157713173971334,4472244,948
LMD-matched,1000,42,9,Bar,0.6148901324192594,4472244,999
LMD-matched,1000,42,10,Bar,0.5158584659629623,4472244,999
LMD-matched,1000,42,11,Bar,0.2119883351357908,4472244,999
LMD-matched,1000,42,12,Bar,0.0804050470616054,4472244,996
LMD-matched,1000,42,1,Duration,1.87099521550075,4472244,997
LMD-matched,1000,42,2,Duration,1.0554143634896416,4472244,1000
LMD-matched,1000,42,3,Duration,0.991791158941534,4472244,1000
LMD-matched,1000,42,4,Duration,0.6379962041661863,4472244,999
LMD-matched,1000,42,5,Duration,0.5798103310674751,4472244,995
LMD-matched,1000,42,6,Duration,0.5885080263796838,4472244,990
LMD-matched,1000,42,7,Duration,0.6860641054622083,4472244,896
LMD-matched,1000,42,8,Duration,0.6176569577295016,4472244,948
LMD-matched,1000,42,9,Duration,0.5385484705072868,4472244,999
LMD-matched,1000,42,10,Duration,0.6301066967992744,4472244,999
LMD-matched,1000,42,11,Duration,0.6906441989207599,4472244,999
LMD-matched,1000,42,12,Duration,1.0352780360093592,4472244,996
LMD-matched,1000,42,1,Pitch,2.2571934375659595,4472244,997
LMD-matched,1000,42,2,Pitch,2.065791271783759,4472244,1000
LMD-matched,1000,42,3,Pitch,1.7446081140127767,4472244,1000
LMD-matched,1000,42,4,Pitch,1.9203422974841409,4472244,999
LMD-matched,1000,42,5,Pitch,1.3172143939905276,4472244,995
LMD-matched,1000,42,6,Pitch,1.2707462044874989,4472244,990
LMD-matched,1000,42,7,Pitch,1.3475723931849015,4472244,896
LMD-matched,1000,42,8,Pitch,1.4499282456025375,4472244,948
LMD-matched,1000,42,9,Pitch,1.8543569849058223,4472244,999
LMD-matched,1000,42,10,Pitch,2.0527527388108293,4472244,999
LMD-matched,1000,42,11,Pitch,2.888937983126301,4472244,999
LMD-matched,1000,42,12,Pitch,3.320191917806476,4472244,996
LMD-matched,1000,42,1,Position,1.0759757873925355,4472244,997
LMD-matched,1000,42,2,Position,1.9161852249717315,4472244,1000
LMD-matched,1000,42,3,Position,2.168731768536241,4472244,1000
LMD-matched,1000,42,4,Position,1.9516048661111465,4472244,999
LMD-matched,1000,42,5,Position,2.3250542331408166,4472244,995
LMD-matched,1000,42,6,Position,2.181230762114588,4472244,990
LMD-matched,1000,42,7,Position,2.1022363092829632,4472244,896
LMD-matched,1000,42,8,Position,1.9500209658318048,4472244,948
LMD-matched,1000,42,9,Position,1.953770200984812,4472244,999
LMD-matched,1000,42,10,Position,2.360807346092182,4472244,999
LMD-matched,1000,42,11,Position,2.315559153363581,4472244,999
LMD-matched,1000,42,12,Position,0.8952074358695264,4472244,996
LMD-matched,1000,42,1,Instrument,1.3727034342294273,4472244,997
LMD-matched,1000,42,2,Instrument,1.240571057754501,4472244,1000
LMD-matched,1000,42,3,Instrument,1.0731074439507116,4472244,1000
LMD-matched,1000,42,4,Instrument,1.0087230479681266,4472244,999
LMD-matched,1000,42,5,Instrument,0.9827228240069196,4472244,995
LMD-matched,1000,42,6,Instrument,1.0359406375527942,4472244,990
LMD-matched,1000,42,7,Instrument,1.0972443319982466,4472244,896
LMD-matched,1000,42,8,Instrument,1.0869353685388778,4472244,948
LMD-matched,1000,42,9,Instrument,1.0863737115281349,4472244,999
LMD-matched,1000,42,10,Instrument,1.047065855398316,4472244,999
LMD-matched,1000,42,11,Instrument,1.007754279317444,4472244,999
LMD-matched,1000,42,12,Instrument,1.2155282772260934,4472244,996
LMD-matched,1000,42,1,Tempo,0.083784074609257,4472244,997
LMD-matched,1000,42,2,Tempo,0.0584465942792405,4472244,1000
LMD-matched,1000,42,3,Tempo,0.0476228423291252,4472244,1000
LMD-matched,1000,42,4,Tempo,0.0358366967795585,4472244,999
LMD-matched,1000,42,5,Tempo,0.041812589505403,4472244,995
LMD-matched,1000,42,6,Tempo,0.0471838322749623,4472244,990
LMD-matched,1000,42,7,Tempo,0.0708209111825623,4472244,896
LMD-matched,1000,42,8,Tempo,0.0585467875266133,4472244,948
LMD-matched,1000,42,9,Tempo,0.0520947641145608,4472244,999
LMD-matched,1000,42,10,Tempo,0.0602011278261154,4472244,999
LMD-matched,1000,42,11,Tempo,0.0691694269086221,4472244,999
LMD-matched,1000,42,12,Tempo,0.1473566148594831,4472244,996
LMD-matched,1000,42,1,Time signature,0.0485722928495166,4472244,997
LMD-matched,1000,42,2,Time signature,0.0426938304366823,4472244,1000
LMD-matched,1000,42,3,Time signature,0.039817489754045,4472244,1000
LMD-matched,1000,42,4,Time signature,0.0330375655599969,4472244,999
LMD-matched,1000,42,5,Time signature,0.0422797075549214,4472244,995
LMD-matched,1000,42,6,Time signature,0.0415092998389131,4472244,990
LMD-matched,1000,42,7,Time signature,0.0447190654713473,4472244,896
