dataset,k,seed,layer,attribute,mi_nats,num_pairs,clusters_used
SOD,1000,12,1,Bar,0.188923312073206,4793154,988
SOD,1000,12,2,Bar,0.2835649864944393,4793154,999
SOD,1000,12,3,Bar,0.3850068191261567,4793154,995
SOD,1000,12,4,Bar,0.4665389643418322,4793154,993
SOD,1000,12,5,Bar,0.6351430946689111,4793154,977
SOD,1000,12,6,Bar,0.6541425571128243,4793154,971
SOD,1000,12,7,Bar,0.4208738631027864,4793154,859
SOD,1000,12,8,Bar,0.5552552991799946,4793154,939
SOD,1000,12,9,Bar,0.6012525761564119,4793154,990
SOD,1000,12,10,Bar,0.4624125713294842,4793154,991
SOD,1000,12,11,Bar,0.1265792760003253,4793154,992
SOD,1000,12,12,Bar,0.0563136670084164,4793154,946
SOD,1000,12,1,Duration,1.95185509362292,4793154,988
SOD,1000,12,2,Duration,1.1890302876731464,4793154,999
SOD,1000,12,3,Duration,1.1339333051130118,4793154,995
SOD,1000,12,4,Duration,0.6268497992369824,4793154,993
SOD,1000,12,5,Duration,0.6118274191845777,4793154,977
SOD,1000,12,6,Duration,0.5587015890233521,4793154,971
SOD,1000,12,7,Duration,0.8448129304071474,4793154,859
SOD,1000,12,8,Duration,0.5950367521538257,4793154,939
SOD,1000,12,9,Duration,0.4990680398215054,4793154,990
SOD,1000,12,10,Duration,0.655860326659941,4793154,991
SOD,1000,12,11,Duration,0.7377240102219345,4793154,992
SOD,1000,12,12,Duration,1.0010123750531208,4793154,946
SOD,1000,12,1,Pitch,1.690150547625085,4793154,988
SOD,1000,12,2,Pitch,1.9169890866685704,4793154,999
SOD,1000,12,3,Pitch,1.364932973507477,4793154,995
SOD,1000,12,4,Pitch,1.7236736873184246,4793154,993
SOD,1000,12,5,Pitch,0.6111332180176342,4793154,977
SOD,1000,12,6,Pitch,0.5226471457397317,4793154,971
SOD,1000,12,7,Pitch,0.4026434626134783,4793154,859
SOD,1000,12,8,Pitch,0.5220012401421663,4793154,939
SOD,1000,12,9,Pitch,1.032514690307753,4793154,990
SOD,1000,12,10,Pitch,1.529806576114418,4793154,991
SOD,1000,12,11,Pitch,2.7506926146252697,4793154,992
